symbol,category,eligible_future_partial_activation,why_eligible,risk_gates,monitor_before_activation,rollback_trigger,disabled_by_default
ABBV,defensive_healthcare,True,Strong coverage (599 rows) and useful defensive_healthcare diversification for shadow testing.,max_sector_concentration; minimum_price_coverage_rows; new_symbol_cooldown_weeks; low_confidence_no_action_rule,"coverage, volatility, ranking stability, sector concentration, missing prices","failed risk gate, stale price data, unstable ranking, sector concentration breach",True
ABT,defensive_healthcare,True,Strong coverage (599 rows) and useful defensive_healthcare diversification for shadow testing.,max_sector_concentration; minimum_price_coverage_rows; new_symbol_cooldown_weeks; low_confidence_no_action_rule,"coverage, volatility, ranking stability, sector concentration, missing prices","failed risk gate, stale price data, unstable ranking, sector concentration breach",True
AMT,utilities_real_assets,True,Strong coverage (599 rows) and useful utilities_real_assets diversification for shadow testing.,max_sector_concentration; minimum_price_coverage_rows; new_symbol_cooldown_weeks; low_confidence_no_action_rule,"coverage, volatility, ranking stability, sector concentration, missing prices","failed risk gate, stale price data, unstable ranking, sector concentration breach",True
APD,energy_materials,True,Strong coverage (599 rows) and useful energy_materials diversification for shadow testing.,max_sector_concentration; minimum_price_coverage_rows; new_symbol_cooldown_weeks; low_confidence_no_action_rule,"coverage, volatility, ranking stability, sector concentration, missing prices","failed risk gate, stale price data, unstable ranking, sector concentration breach",True
BA,industrial_diversified,True,Strong coverage (599 rows) and useful industrial_diversified diversification for shadow testing.,max_sector_concentration; minimum_price_coverage_rows; new_symbol_cooldown_weeks; low_confidence_no_action_rule,"coverage, volatility, ranking stability, sector concentration, missing prices","failed risk gate, stale price data, unstable ranking, sector concentration breach",True
BKNG,consumer_retail,True,Strong coverage (599 rows) and useful consumer_retail diversification for shadow testing.,max_sector_concentration; minimum_price_coverage_rows; new_symbol_cooldown_weeks; low_confidence_no_action_rule,"coverage, volatility, ranking stability, sector concentration, missing prices","failed risk gate, stale price data, unstable ranking, sector concentration breach",True
BLK,financial_payments,True,Strong coverage (599 rows) and useful financial_payments diversification for shadow testing.,max_sector_concentration; minimum_price_coverage_rows; new_symbol_cooldown_weeks; low_confidence_no_action_rule,"coverage, volatility, ranking stability, sector concentration, missing prices","failed risk gate, stale price data, unstable ranking, sector concentration breach",True
CMG,consumer_retail,True,Strong coverage (599 rows) and useful consumer_retail diversification for shadow testing.,max_sector_concentration; minimum_price_coverage_rows; new_symbol_cooldown_weeks; low_confidence_no_action_rule,"coverage, volatility, ranking stability, sector concentration, missing prices","failed risk gate, stale price data, unstable ranking, sector concentration breach",True
COP,energy_materials,True,Strong coverage (599 rows) and useful energy_materials diversification for shadow testing.,max_sector_concentration; minimum_price_coverage_rows; new_symbol_cooldown_weeks; low_confidence_no_action_rule,"coverage, volatility, ranking stability, sector concentration, missing prices","failed risk gate, stale price data, unstable ranking, sector concentration breach",True
DUK,utilities_real_assets,True,Strong coverage (599 rows) and useful utilities_real_assets diversification for shadow testing.,max_sector_concentration; minimum_price_coverage_rows; new_symbol_cooldown_weeks; low_confidence_no_action_rule,"coverage, volatility, ranking stability, sector concentration, missing prices","failed risk gate, stale price data, unstable ranking, sector concentration breach",True
ETN,industrial_diversified,True,Strong coverage (599 rows) and useful industrial_diversified diversification for shadow testing.,max_sector_concentration; minimum_price_coverage_rows; new_symbol_cooldown_weeks; low_confidence_no_action_rule,"coverage, volatility, ranking stability, sector concentration, missing prices","failed risk gate, stale price data, unstable ranking, sector concentration breach",True
GS,financial_payments,True,Strong coverage (599 rows) and useful financial_payments diversification for shadow testing.,max_sector_concentration; minimum_price_coverage_rows; new_symbol_cooldown_weeks; low_confidence_no_action_rule,"coverage, volatility, ranking stability, sector concentration, missing prices","failed risk gate, stale price data, unstable ranking, sector concentration breach",True
