symbol,sector_category,why_selected,factor_usefulness,regime_usefulness,risk_notes,monitoring_requirement,activation_readiness,rollback_trigger
ABBV,defensive_healthcare,Strong coverage (599 rows) and useful defensive_healthcare diversification for shadow testing.,pending,pending,duplicate_exposure=moderate; noise=medium_low; volatility_impact=pending,"Monthly shadow monitoring: rank stability, false-positive proxy, missing price frequency, volatility impact, and diversification benefit.",shadow_only_review_ready,"Any risk gate breach, missing/invalid price coverage, abnormal volatility, concentration increase, or sustained weak ranking stability."
ABT,defensive_healthcare,Strong coverage (599 rows) and useful defensive_healthcare diversification for shadow testing.,pending,pending,duplicate_exposure=moderate; noise=medium_low; volatility_impact=pending,"Monthly shadow monitoring: rank stability, false-positive proxy, missing price frequency, volatility impact, and diversification benefit.",shadow_only_review_ready,"Any risk gate breach, missing/invalid price coverage, abnormal volatility, concentration increase, or sustained weak ranking stability."
AMT,utilities_real_assets,Strong coverage (599 rows) and useful utilities_real_assets diversification for shadow testing.,pending,pending,duplicate_exposure=low_new_diversifier; noise=medium; volatility_impact=pending,"Monthly shadow monitoring: rank stability, false-positive proxy, missing price frequency, volatility impact, and diversification benefit.",shadow_only_review_ready,"Any risk gate breach, missing/invalid price coverage, abnormal volatility, concentration increase, or sustained weak ranking stability."
APD,energy_materials,Strong coverage (599 rows) and useful energy_materials diversification for shadow testing.,pending,pending,duplicate_exposure=low_new_diversifier; noise=medium; volatility_impact=pending,"Monthly shadow monitoring: rank stability, false-positive proxy, missing price frequency, volatility impact, and diversification benefit.",shadow_only_review_ready,"Any risk gate breach, missing/invalid price coverage, abnormal volatility, concentration increase, or sustained weak ranking stability."
BA,industrial_diversified,Strong coverage (599 rows) and useful industrial_diversified diversification for shadow testing.,pending,pending,duplicate_exposure=moderate; noise=medium_low; volatility_impact=pending,"Monthly shadow monitoring: rank stability, false-positive proxy, missing price frequency, volatility impact, and diversification benefit.",shadow_only_review_ready,"Any risk gate breach, missing/invalid price coverage, abnormal volatility, concentration increase, or sustained weak ranking stability."
BKNG,consumer_retail,Strong coverage (599 rows) and useful consumer_retail diversification for shadow testing.,pending,pending,duplicate_exposure=moderate; noise=medium_low; volatility_impact=pending,"Monthly shadow monitoring: rank stability, false-positive proxy, missing price frequency, volatility impact, and diversification benefit.",shadow_only_review_ready,"Any risk gate breach, missing/invalid price coverage, abnormal volatility, concentration increase, or sustained weak ranking stability."
BLK,financial_payments,Strong coverage (599 rows) and useful financial_payments diversification for shadow testing.,pending,pending,duplicate_exposure=moderate; noise=medium_low; volatility_impact=pending,"Monthly shadow monitoring: rank stability, false-positive proxy, missing price frequency, volatility impact, and diversification benefit.",shadow_only_review_ready,"Any risk gate breach, missing/invalid price coverage, abnormal volatility, concentration increase, or sustained weak ranking stability."
CMG,consumer_retail,Strong coverage (599 rows) and useful consumer_retail diversification for shadow testing.,pending,pending,duplicate_exposure=moderate; noise=medium_low; volatility_impact=pending,"Monthly shadow monitoring: rank stability, false-positive proxy, missing price frequency, volatility impact, and diversification benefit.",shadow_only_review_ready,"Any risk gate breach, missing/invalid price coverage, abnormal volatility, concentration increase, or sustained weak ranking stability."
COP,energy_materials,Strong coverage (599 rows) and useful energy_materials diversification for shadow testing.,pending,pending,duplicate_exposure=low_new_diversifier; noise=medium; volatility_impact=pending,"Monthly shadow monitoring: rank stability, false-positive proxy, missing price frequency, volatility impact, and diversification benefit.",shadow_only_review_ready,"Any risk gate breach, missing/invalid price coverage, abnormal volatility, concentration increase, or sustained weak ranking stability."
DUK,utilities_real_assets,Strong coverage (599 rows) and useful utilities_real_assets diversification for shadow testing.,pending,pending,duplicate_exposure=low_new_diversifier; noise=medium; volatility_impact=pending,"Monthly shadow monitoring: rank stability, false-positive proxy, missing price frequency, volatility impact, and diversification benefit.",shadow_only_review_ready,"Any risk gate breach, missing/invalid price coverage, abnormal volatility, concentration increase, or sustained weak ranking stability."
ETN,industrial_diversified,Strong coverage (599 rows) and useful industrial_diversified diversification for shadow testing.,pending,pending,duplicate_exposure=moderate; noise=medium_low; volatility_impact=pending,"Monthly shadow monitoring: rank stability, false-positive proxy, missing price frequency, volatility impact, and diversification benefit.",shadow_only_review_ready,"Any risk gate breach, missing/invalid price coverage, abnormal volatility, concentration increase, or sustained weak ranking stability."
GS,financial_payments,Strong coverage (599 rows) and useful financial_payments diversification for shadow testing.,pending,pending,duplicate_exposure=moderate; noise=medium_low; volatility_impact=pending,"Monthly shadow monitoring: rank stability, false-positive proxy, missing price frequency, volatility impact, and diversification benefit.",shadow_only_review_ready,"Any risk gate breach, missing/invalid price coverage, abnormal volatility, concentration increase, or sustained weak ranking stability."
