source,strategy,is_hybrid_candidate,observations,avg_return_on_contributed_pct,avg_normalized_return_pct,avg_max_drawdown_pct,avg_volatility_pct,avg_calmar_ratio,avg_cash_remaining,avg_cash_remaining_pct_contributed,return_win_rate_pct,calmar_win_rate_pct
full_period_ticker_true_contribution,fixed_weekly_dca,False,6,112.13,112.13,26.92,65.53,0.454,0.0,0.0,,
full_period_ticker_true_contribution,simple_dip_buy,False,6,108.92,115.45,26.54,65.18,0.455,543.3,2.08,,
full_period_ticker_true_contribution,risk_adjusted_v2,False,6,105.93,111.64,26.66,65.23,0.449,324.22,1.24,,
full_period_ticker_true_contribution,hybrid_70_30,True,6,111.19,113.01,26.82,65.43,0.455,148.21,0.57,,
full_period_ticker_true_contribution,hybrid_80_20,True,6,111.52,112.67,26.85,65.47,0.454,91.99,0.35,,
full_period_ticker_true_contribution,trend_aware_hybrid,True,6,112.13,112.14,26.92,65.5,0.454,1.89,0.01,,
full_period_portfolio_true_contribution,fixed_weekly_dca,False,1,112.13,112.13,18.7,61.14,0.864,0.0,0.0,,
full_period_portfolio_true_contribution,simple_dip_buy,False,1,108.92,113.36,18.31,60.88,0.863,3259.8,2.08,,
full_period_portfolio_true_contribution,risk_adjusted_v2,False,1,105.93,108.52,18.19,60.85,0.851,1945.31,1.24,,
full_period_portfolio_true_contribution,hybrid_70_30,True,1,111.19,112.4,18.59,61.07,0.864,889.24,0.57,,
full_period_portfolio_true_contribution,hybrid_80_20,True,1,111.52,112.27,18.63,61.09,0.864,551.94,0.35,,
full_period_portfolio_true_contribution,trend_aware_hybrid,True,1,112.13,112.14,18.7,61.13,0.864,11.33,0.01,,
rolling_ticker_true_contribution,fixed_weekly_dca,False,234,31.21,31.21,12.77,99.89,1.878,0.0,0.0,,
rolling_ticker_true_contribution,simple_dip_buy,False,234,29.76,34.41,12.33,99.48,2.008,244.61,2.68,,
rolling_ticker_true_contribution,risk_adjusted_v2,False,234,28.95,33.29,12.36,99.43,1.916,194.37,2.23,,
rolling_ticker_true_contribution,hybrid_70_30,True,234,30.79,32.08,12.64,99.77,1.909,68.45,0.76,,
rolling_ticker_true_contribution,hybrid_80_20,True,234,30.93,31.76,12.69,99.81,1.897,43.34,0.48,,
rolling_ticker_true_contribution,trend_aware_hybrid,True,234,31.17,31.23,12.75,99.84,1.889,3.85,0.05,,
rolling_portfolio_true_contribution,fixed_weekly_dca,False,39,31.21,31.21,8.64,96.46,3.093,0.0,0.0,53.85,17.95
rolling_portfolio_true_contribution,simple_dip_buy,False,39,29.76,33.38,8.24,96.23,3.218,1467.69,2.68,15.38,69.23
rolling_portfolio_true_contribution,risk_adjusted_v2,False,39,28.96,31.92,8.23,96.2,3.161,1166.22,2.23,2.56,7.69
rolling_portfolio_true_contribution,hybrid_70_30,True,39,30.79,31.79,8.52,96.39,3.124,410.69,0.76,0.0,0.0
rolling_portfolio_true_contribution,hybrid_80_20,True,39,30.93,31.57,8.56,96.42,3.113,260.06,0.48,0.0,0.0
rolling_portfolio_true_contribution,trend_aware_hybrid,True,39,31.17,31.23,8.62,96.43,3.095,23.13,0.05,30.77,12.82
