scope,strategy,ticker,start_date,end_date,weeks,initial_cash,weekly_budget,final_value,total_return,annualized_return,max_drawdown,total_invested,cash_remaining,shares_held,orders
ticker,fixed_weekly_dca,BYDDY,2021-06-07,2026-06-05,262,10000.0,100.0,11037.627902,0.10376279,0.01996608,0.42876467,10000.0,0.0,980.25114587,261
ticker,fixed_weekly_dca,MSFT,2021-06-07,2026-06-05,262,10000.0,100.0,14991.129921,0.49911299,0.0844518,0.31928412,10000.0,0.0,35.97842286,261
ticker,fixed_weekly_dca,NVDA,2021-06-07,2026-06-05,262,10000.0,100.0,86360.267158,7.63602672,0.53990452,0.36117324,10000.0,0.0,421.0641864,261
ticker,fixed_weekly_dca,AAPL,2021-06-07,2026-06-05,262,10000.0,100.0,20360.159356,1.03601594,0.15300825,0.26296018,10000.0,0.0,66.24637086,261
ticker,fixed_weekly_dca,ASML,2021-06-07,2026-06-05,262,10000.0,100.0,25512.680656,1.55126807,0.20628956,0.44202312,10000.0,0.0,15.5400251,261
ticker,fixed_weekly_dca,KO,2021-06-07,2026-06-05,262,10000.0,100.0,13401.684593,0.34016846,0.06038421,0.1748055,10000.0,0.0,168.61706199,261
ticker,simple_dip_buy,BYDDY,2021-06-07,2026-06-05,262,10000.0,100.0,11127.824366,0.11278244,0.02162968,0.42876467,10000.0,0.0,988.26148898,261
ticker,simple_dip_buy,MSFT,2021-06-07,2026-06-05,262,10000.0,100.0,14990.140523,0.49901405,0.08443747,0.31928412,10000.0,0.0,35.97604832,261
ticker,simple_dip_buy,NVDA,2021-06-07,2026-06-05,262,10000.0,100.0,84986.454763,7.49864548,0.53496764,0.36117324,10000.0,0.0,414.36593016,261
ticker,simple_dip_buy,AAPL,2021-06-07,2026-06-05,262,10000.0,100.0,20310.582561,1.03105826,0.15244549,0.26296018,10000.0,0.0,66.08506158,261
ticker,simple_dip_buy,ASML,2021-06-07,2026-06-05,262,10000.0,100.0,25707.054815,1.57070548,0.20812433,0.44202312,10000.0,0.0,15.65842032,261
ticker,simple_dip_buy,KO,2021-06-07,2026-06-05,262,10000.0,100.0,13419.402112,0.34194021,0.06066478,0.17457152,10000.0,0.0,168.83997994,261
ticker,risk_adjusted_v2,BYDDY,2021-06-07,2026-06-05,262,10000.0,100.0,11064.588305,0.10645883,0.02046448,0.42876467,10000.0,0.0,982.64549778,261
ticker,risk_adjusted_v2,MSFT,2021-06-07,2026-06-05,262,10000.0,100.0,15102.496185,0.51024962,0.08606025,0.31928412,10000.0,0.0,36.24569975,261
ticker,risk_adjusted_v2,NVDA,2021-06-07,2026-06-05,262,10000.0,100.0,82838.09681,7.28380968,0.52711787,0.36117324,10000.0,0.0,403.89124518,261
ticker,risk_adjusted_v2,AAPL,2021-06-07,2026-06-05,262,10000.0,100.0,20495.339038,1.0495339,0.15453714,0.26296018,10000.0,0.0,66.68620845,261
ticker,risk_adjusted_v2,ASML,2021-06-07,2026-06-05,262,10000.0,100.0,25470.041257,1.54700413,0.20588558,0.44202312,10000.0,0.0,15.51405302,261
ticker,risk_adjusted_v2,KO,2021-06-07,2026-06-05,262,10000.0,100.0,13452.315374,0.34523154,0.0611852,0.17534065,10000.0,0.0,169.2540874,261
portfolio_average,fixed_weekly_dca,PORTFOLIO_AVG,2021-06-07,2026-06-05,262.0,60000.0,600.0,171663.549586,1.86105916,0.17733407,0.3315018,60000.0,0.0,,1566
portfolio_average,simple_dip_buy,PORTFOLIO_AVG,2021-06-07,2026-06-05,262.0,60000.0,600.0,170541.45914,1.84235765,0.1770449,0.33146281,60000.0,0.0,,1566
portfolio_average,risk_adjusted_v2,PORTFOLIO_AVG,2021-06-07,2026-06-05,262.0,60000.0,600.0,168422.876969,1.80704795,0.17587509,0.331591,60000.0,0.0,,1566
